"Series";"Time";"Value"
"Total Network Received";"2020-05-04T13:48:10+02:00";1283732511.7360287
"Total Network Received";"2020-05-04T13:48:15+02:00";1271394956.45292
"Total Network Received";"2020-05-04T13:48:20+02:00";1277429860.167938
"Total Network Received";"2020-05-04T13:48:25+02:00";1284824002.491735
"Total Network Received";"2020-05-04T13:48:30+02:00";1279329591.682309
"Total Network Received";"2020-05-04T13:48:35+02:00";1273720456.1519656
"Total Network Received";"2020-05-04T13:48:40+02:00";1287206756.7937245
"Total Network Received";"2020-05-04T13:48:45+02:00";1286694704.28022
"Total Network Received";"2020-05-04T13:48:50+02:00";1278929493.0166705
"Total Network Received";"2020-05-04T13:48:55+02:00";1305818258.426278
"Total Network Received";"2020-05-04T13:49:00+02:00";1293522415.9247413
"Total Network Received";"2020-05-04T13:49:05+02:00";1274221368.8925865
"Total Network Received";"2020-05-04T13:49:10+02:00";1292332891.4896128
"Total Network Received";"2020-05-04T13:49:15+02:00";1276456236.0539527
"Total Network Received";"2020-05-04T13:49:20+02:00";1290846132.188998
"Total Network Received";"2020-05-04T13:49:25+02:00";1286647726.0853448
"Total Network Received";"2020-05-04T13:49:30+02:00";1277409218.8572454
"Total Network Received";"2020-05-04T13:49:35+02:00";1287719821.2561185
"Total Network Received";"2020-05-04T13:49:40+02:00";1289230927.6632402
"Total Network Received";"2020-05-04T13:49:45+02:00";1298650599.0084198
"Total Network Received";"2020-05-04T13:49:50+02:00";1283853412.4979458
"Total Network Received";"2020-05-04T13:49:55+02:00";1280730778.542804
"Total Network Received";"2020-05-04T13:50:00+02:00";1279287279.8512247
"Total Network Received";"2020-05-04T13:50:05+02:00";1271631791.682234
"Total Network Received";"2020-05-04T13:50:10+02:00";1283490676.5198019
"Total Network Received";"2020-05-04T13:50:15+02:00";1294678153.1484575
"Total Network Received";"2020-05-04T13:50:20+02:00";1277263994.3604949
"Total Network Received";"2020-05-04T13:50:25+02:00";1286099522.5421116
"Total Network Received";"2020-05-04T13:50:30+02:00";1292822410.9994476
"Total Network Received";"2020-05-04T13:50:35+02:00";1284920674.7380126
"Total Network Received";"2020-05-04T13:50:40+02:00";1285603804.329637
"Total Network Received";"2020-05-04T13:50:45+02:00";1300916475.1053033
"Total Network Received";"2020-05-04T13:50:50+02:00";1283549768.9128773
"Total Network Received";"2020-05-04T13:50:55+02:00";1284375525.969547
"Total Network Received";"2020-05-04T13:51:00+02:00";1288814629.4648151
"Total Network Received";"2020-05-04T13:51:05+02:00";1278926743.6573946
"Total Network Received";"2020-05-04T13:51:10+02:00";1305086200.6261146
"Total Network Received";"2020-05-04T13:51:15+02:00";1270324734.4067268
"Total Network Received";"2020-05-04T13:51:20+02:00";1297133459.0407035
"Total Network Received";"2020-05-04T13:51:25+02:00";1279312062.0515232
"Total Network Received";"2020-05-04T13:51:30+02:00";1288200334.937388
"Total Network Received";"2020-05-04T13:51:35+02:00";1304318913.8493018
"Total Network Received";"2020-05-04T13:51:40+02:00";1302611046.03124
"Total Network Received";"2020-05-04T13:51:45+02:00";1278366815.5267107
"Total Network Received";"2020-05-04T13:51:50+02:00";1290337805.5996084
"Total Network Received";"2020-05-04T13:51:55+02:00";1280434451.2015355
"Total Network Received";"2020-05-04T13:52:00+02:00";1284875212.6213937
"Total Network Received";"2020-05-04T13:52:05+02:00";1299579234.8492973
"Total Network Received";"2020-05-04T13:52:10+02:00";1271365691.8288803
"Total Network Received";"2020-05-04T13:52:15+02:00";1272894447.0443885
"Total Network Received";"2020-05-04T13:52:20+02:00";1300712669.8538675
"Total Network Received";"2020-05-04T13:52:25+02:00";1270881455.2950158
"Total Network Received";"2020-05-04T13:52:30+02:00";1286564194.3827105
"Total Network Received";"2020-05-04T13:52:35+02:00";1287566848.5029423
"Total Network Received";"2020-05-04T13:52:40+02:00";1298681778.5191965
"Total Network Received";"2020-05-04T13:52:45+02:00";1279251456.6259706
"Total Network Received";"2020-05-04T13:52:50+02:00";1280417355.5083575
"Total Network Received";"2020-05-04T13:52:55+02:00";1277869960.4079185
"Total Network Received";"2020-05-04T13:53:00+02:00";1277816643.1685476
"Total Network Received";"2020-05-04T13:53:05+02:00";1272870882.0686884
"Total Network Received";"2020-05-04T13:53:10+02:00";1290047572.986102
"Total Network Received";"2020-05-04T13:53:15+02:00";1287733189.7166164
"Total Network Received";"2020-05-04T13:53:20+02:00";1281372349.2105803
"Total Network Received";"2020-05-04T13:53:25+02:00";1277256418.1715744
"Total Network Received";"2020-05-04T13:53:30+02:00";1276391816.3714511
"Total Network Received";"2020-05-04T13:53:35+02:00";1287916308.222291
"Total Network Received";"2020-05-04T13:53:40+02:00";1310540019.6579099
"Total Network Received";"2020-05-04T13:53:45+02:00";1284263825.5312448
"Total Network Received";"2020-05-04T13:53:50+02:00";1295002726.175708
"Total Network Received";"2020-05-04T13:53:55+02:00";1283306971.19734
"Total Network Received";"2020-05-04T13:54:00+02:00";1283744398.7882624
"Total Network Received";"2020-05-04T13:54:05+02:00";1282390687.9498944
"Total Network Received";"2020-05-04T13:54:10+02:00";1292949710.585696
"Total Network Received";"2020-05-04T13:54:15+02:00";1278696797.6965685
"Total Network Received";"2020-05-04T13:54:20+02:00";1277751198.675798
"Total Network Received";"2020-05-04T13:54:25+02:00";1277306708.2446823
