"Series";"Time";"Value"
"Total Network Received";"2020-05-04T13:36:10+02:00";1026380325.2242393
"Total Network Received";"2020-05-04T13:36:15+02:00";1022335316.7999998
"Total Network Received";"2020-05-04T13:36:20+02:00";1013243349.558888
"Total Network Received";"2020-05-04T13:36:25+02:00";1011169591.9705815
"Total Network Received";"2020-05-04T13:36:30+02:00";1017554869.4633996
"Total Network Received";"2020-05-04T13:36:35+02:00";1036102480.8228279
"Total Network Received";"2020-05-04T13:36:40+02:00";1041421930.3643308
"Total Network Received";"2020-05-04T13:36:45+02:00";1045994814.2557509
"Total Network Received";"2020-05-04T13:36:50+02:00";1031775590.9873631
"Total Network Received";"2020-05-04T13:36:55+02:00";1026174863.6844976
"Total Network Received";"2020-05-04T13:37:00+02:00";1009171641.2168024
"Total Network Received";"2020-05-04T13:37:05+02:00";1024705456.5039163
"Total Network Received";"2020-05-04T13:37:10+02:00";1029528090.421802
"Total Network Received";"2020-05-04T13:37:15+02:00";1017725011.071795
"Total Network Received";"2020-05-04T13:37:20+02:00";1047564963.8225971
"Total Network Received";"2020-05-04T13:37:25+02:00";1022367490.5829076
"Total Network Received";"2020-05-04T13:37:30+02:00";1031714854.277103
"Total Network Received";"2020-05-04T13:37:35+02:00";1040695545.052598
"Total Network Received";"2020-05-04T13:37:40+02:00";1015173701.1750531
"Total Network Received";"2020-05-04T13:37:45+02:00";1031579017.8235401
"Total Network Received";"2020-05-04T13:37:50+02:00";1023546635.4209828
"Total Network Received";"2020-05-04T13:37:55+02:00";1023936866.7981293
"Total Network Received";"2020-05-04T13:38:00+02:00";1036105077.3948928
"Total Network Received";"2020-05-04T13:38:05+02:00";1042083948.8210682
"Total Network Received";"2020-05-04T13:38:10+02:00";1036004569.4274442
"Total Network Received";"2020-05-04T13:38:15+02:00";1034240189.1022809
"Total Network Received";"2020-05-04T13:38:20+02:00";1025624075.8742505
"Total Network Received";"2020-05-04T13:38:25+02:00";1022104922.8906945
"Total Network Received";"2020-05-04T13:38:30+02:00";1014782508.641926
"Total Network Received";"2020-05-04T13:38:35+02:00";1038099521.9853673
"Total Network Received";"2020-05-04T13:38:40+02:00";1036439258.686974
"Total Network Received";"2020-05-04T13:38:45+02:00";1021884925.0610878
"Total Network Received";"2020-05-04T13:38:50+02:00";1036919116.2797748
"Total Network Received";"2020-05-04T13:38:55+02:00";1016293530.3713593
"Total Network Received";"2020-05-04T13:39:00+02:00";1041052461.1813638
"Total Network Received";"2020-05-04T13:39:05+02:00";1010663277.1839232
"Total Network Received";"2020-05-04T13:39:10+02:00";1021220598.2217112
"Total Network Received";"2020-05-04T13:39:15+02:00";1037376457.8791561
"Total Network Received";"2020-05-04T13:39:20+02:00";1041011733.4271704
"Total Network Received";"2020-05-04T13:39:25+02:00";1035314661.5172634
"Total Network Received";"2020-05-04T13:39:30+02:00";1026892269.496181
"Total Network Received";"2020-05-04T13:39:35+02:00";1024966558.134347
"Total Network Received";"2020-05-04T13:39:40+02:00";1024952919.448813
"Total Network Received";"2020-05-04T13:39:45+02:00";1027095492.3384587
"Total Network Received";"2020-05-04T13:39:50+02:00";1031182183.8043697
"Total Network Received";"2020-05-04T13:39:55+02:00";1025046105.4611251
"Total Network Received";"2020-05-04T13:40:00+02:00";1060857278.8095975
"Total Network Received";"2020-05-04T13:40:05+02:00";1032638415.2246717
"Total Network Received";"2020-05-04T13:40:10+02:00";1028669400.5623724
"Total Network Received";"2020-05-04T13:40:15+02:00";1027174116.3747015
"Total Network Received";"2020-05-04T13:40:20+02:00";1015188330.6072135
"Total Network Received";"2020-05-04T13:40:25+02:00";1008819682.3623773
"Total Network Received";"2020-05-04T13:40:30+02:00";1016324592.0659068
"Total Network Received";"2020-05-04T13:40:35+02:00";1023119737.7216774
"Total Network Received";"2020-05-04T13:40:40+02:00";1040541653.1151059
"Total Network Received";"2020-05-04T13:40:45+02:00";1030566766.3999999
"Total Network Received";"2020-05-04T13:40:50+02:00";1027919962.0437512
"Total Network Received";"2020-05-04T13:40:55+02:00";1039110857.3081017
"Total Network Received";"2020-05-04T13:41:00+02:00";1024909750.4315342
"Total Network Received";"2020-05-04T13:41:05+02:00";1024084540.8608243
"Total Network Received";"2020-05-04T13:41:10+02:00";1017311676.8000002
"Total Network Received";"2020-05-04T13:41:15+02:00";1020137151.8643467
"Total Network Received";"2020-05-04T13:41:20+02:00";1037731265.6714119
"Total Network Received";"2020-05-04T13:41:25+02:00";1027686642.6941953
"Total Network Received";"2020-05-04T13:41:30+02:00";1027487190.4181089
"Total Network Received";"2020-05-04T13:41:35+02:00";1027211133.3093164
"Total Network Received";"2020-05-04T13:41:40+02:00";1016011325.6254249
"Total Network Received";"2020-05-04T13:41:45+02:00";1025701127.6365819
