"Series";"Time";"Value"
"Total Network Received";"2020-05-04T13:24:05+02:00";770966573.0601076
"Total Network Received";"2020-05-04T13:24:10+02:00";767165427.1999997
"Total Network Received";"2020-05-04T13:24:15+02:00";773553507.2912182
"Total Network Received";"2020-05-04T13:24:20+02:00";783618547.8551986
"Total Network Received";"2020-05-04T13:24:25+02:00";784798311.2913827
"Total Network Received";"2020-05-04T13:24:30+02:00";773148948.7514472
"Total Network Received";"2020-05-04T13:24:35+02:00";762024505.7762847
"Total Network Received";"2020-05-04T13:24:40+02:00";772329458.3054109
"Total Network Received";"2020-05-04T13:24:45+02:00";788801615.3624325
"Total Network Received";"2020-05-04T13:24:50+02:00";767449444.8
"Total Network Received";"2020-05-04T13:24:55+02:00";772718611.2000002
"Total Network Received";"2020-05-04T13:25:00+02:00";766432884.7999997
"Total Network Received";"2020-05-04T13:25:05+02:00";772862767.9999998
"Total Network Received";"2020-05-04T13:25:10+02:00";779808540.8
"Total Network Received";"2020-05-04T13:25:15+02:00";764177444.3227509
"Total Network Received";"2020-05-04T13:25:20+02:00";781537443.8005601
"Total Network Received";"2020-05-04T13:25:25+02:00";773705535.8521894
"Total Network Received";"2020-05-04T13:25:30+02:00";775080560.9475917
"Total Network Received";"2020-05-04T13:25:35+02:00";770333896.5555333
"Total Network Received";"2020-05-04T13:25:40+02:00";787007952.6087618
"Total Network Received";"2020-05-04T13:25:45+02:00";784837035.2000002
"Total Network Received";"2020-05-04T13:25:50+02:00";762796182.3213114
"Total Network Received";"2020-05-04T13:25:55+02:00";754729207.4770155
"Total Network Received";"2020-05-04T13:26:00+02:00";772075033.4511701
"Total Network Received";"2020-05-04T13:26:05+02:00";774820245.5683327
"Total Network Received";"2020-05-04T13:26:10+02:00";776116520.7819164
"Total Network Received";"2020-05-04T13:26:15+02:00";784865849.5999998
"Total Network Received";"2020-05-04T13:26:20+02:00";772715748.9766754
"Total Network Received";"2020-05-04T13:26:25+02:00";775364222.958913
"Total Network Received";"2020-05-04T13:26:30+02:00";773208039.1673338
"Total Network Received";"2020-05-04T13:26:35+02:00";772002725.1666468
"Total Network Received";"2020-05-04T13:26:40+02:00";761734650.5397507
"Total Network Received";"2020-05-04T13:26:45+02:00";765118899.4016807
"Total Network Received";"2020-05-04T13:26:50+02:00";774914137.6
"Total Network Received";"2020-05-04T13:26:55+02:00";783764282.5069759
"Total Network Received";"2020-05-04T13:27:00+02:00";774048741.7669803
"Total Network Received";"2020-05-04T13:27:05+02:00";782077073.0768985
