"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T13:00:00+02:00";264265852.99139106
"Total Network Transmitted";"2020-05-04T13:00:05+02:00";267745600.41992402
"Total Network Transmitted";"2020-05-04T13:00:10+02:00";261334210.12437508
"Total Network Transmitted";"2020-05-04T13:00:15+02:00";259276389.34858975
"Total Network Transmitted";"2020-05-04T13:00:20+02:00";261229816
"Total Network Transmitted";"2020-05-04T13:00:25+02:00";258944065.60000002
"Total Network Transmitted";"2020-05-04T13:00:30+02:00";264637963.2
"Total Network Transmitted";"2020-05-04T13:00:35+02:00";266726380.8
"Total Network Transmitted";"2020-05-04T13:00:40+02:00";260628528
"Total Network Transmitted";"2020-05-04T13:00:45+02:00";259364316.79999998
"Total Network Transmitted";"2020-05-04T13:00:50+02:00";262698895.45194957
"Total Network Transmitted";"2020-05-04T13:00:55+02:00";261920717.63728744
"Total Network Transmitted";"2020-05-04T13:01:00+02:00";257254793.60000002
"Total Network Transmitted";"2020-05-04T13:01:05+02:00";251541131.20000002
"Total Network Transmitted";"2020-05-04T13:01:10+02:00";263068807.65926814
"Total Network Transmitted";"2020-05-04T13:01:15+02:00";267292414.83336666
"Total Network Transmitted";"2020-05-04T13:01:20+02:00";260931641.60000002
"Total Network Transmitted";"2020-05-04T13:01:25+02:00";258726236.79999998
"Total Network Transmitted";"2020-05-04T13:01:30+02:00";257802003.1929614
"Total Network Transmitted";"2020-05-04T13:01:35+02:00";258543214.39999998
"Total Network Transmitted";"2020-05-04T13:01:40+02:00";258114383.78683734
"Total Network Transmitted";"2020-05-04T13:01:45+02:00";264364401.60000002
"Total Network Transmitted";"2020-05-04T13:01:50+02:00";261899667.19999996
"Total Network Transmitted";"2020-05-04T13:01:55+02:00";269964806.40000004
"Total Network Transmitted";"2020-05-04T13:02:00+02:00";263874556.68390965
"Total Network Transmitted";"2020-05-04T13:02:05+02:00";259795473.2980792
"Total Network Transmitted";"2020-05-04T13:02:10+02:00";262271153.0216443
"Total Network Transmitted";"2020-05-04T13:02:15+02:00";261527696.00000003
"Total Network Transmitted";"2020-05-04T13:02:20+02:00";269045939.20000005
"Total Network Transmitted";"2020-05-04T13:02:25+02:00";266315123.2
"Total Network Transmitted";"2020-05-04T13:02:30+02:00";268717889.6
"Total Network Transmitted";"2020-05-04T13:02:35+02:00";269179804.9446111
"Total Network Transmitted";"2020-05-04T13:02:40+02:00";262386326.21596324
"Total Network Transmitted";"2020-05-04T13:02:45+02:00";260480769.60000002
"Total Network Transmitted";"2020-05-04T13:02:50+02:00";264858091.20000002
"Total Network Transmitted";"2020-05-04T13:02:55+02:00";261671265.60000002
"Total Network Transmitted";"2020-05-04T13:03:00+02:00";272895246.40000004
"Total Network Transmitted";"2020-05-04T13:03:05+02:00";260902352
"Total Network Transmitted";"2020-05-04T13:03:10+02:00";265248295.99999997
"Total Network Transmitted";"2020-05-04T13:03:15+02:00";263862054.8235953
"Total Network Transmitted";"2020-05-04T13:03:20+02:00";259996290.32270458
"Total Network Transmitted";"2020-05-04T13:03:25+02:00";262289217.60000002
"Total Network Transmitted";"2020-05-04T13:03:30+02:00";259722724.8
"Total Network Transmitted";"2020-05-04T13:03:35+02:00";257529747.2
"Total Network Transmitted";"2020-05-04T13:03:40+02:00";266030755.20000005
"Total Network Transmitted";"2020-05-04T13:03:45+02:00";261799921.36686623
"Total Network Transmitted";"2020-05-04T13:03:50+02:00";266790253.11422843
"Total Network Transmitted";"2020-05-04T13:03:55+02:00";262302451.20000005
"Total Network Transmitted";"2020-05-04T13:04:00+02:00";257353862.39999998
"Total Network Transmitted";"2020-05-04T13:04:05+02:00";264416280
"Total Network Transmitted";"2020-05-04T13:04:10+02:00";256113419.20000005
"Total Network Transmitted";"2020-05-04T13:04:15+02:00";260982374.40000004
"Total Network Transmitted";"2020-05-04T13:04:20+02:00";256220315.85778844
"Total Network Transmitted";"2020-05-04T13:04:25+02:00";266966098.4468894
"Total Network Transmitted";"2020-05-04T13:04:30+02:00";260807679.76836634
"Total Network Transmitted";"2020-05-04T13:04:35+02:00";261569448.27973598
"Total Network Transmitted";"2020-05-04T13:04:40+02:00";257894515.2
"Total Network Transmitted";"2020-05-04T13:04:45+02:00";267806344
"Total Network Transmitted";"2020-05-04T13:04:50+02:00";265024735.99999997
"Total Network Transmitted";"2020-05-04T13:04:55+02:00";262676966.39999995
"Total Network Transmitted";"2020-05-04T13:05:00+02:00";253982881.60000002
"Total Network Transmitted";"2020-05-04T13:05:05+02:00";262483064
"Total Network Transmitted";"2020-05-04T13:05:10+02:00";266851628.8
"Total Network Transmitted";"2020-05-04T13:05:15+02:00";266576494.39999995
"Total Network Transmitted";"2020-05-04T13:05:20+02:00";256643164.80000007
"Total Network Transmitted";"2020-05-04T13:05:25+02:00";256059486.4
"Total Network Transmitted";"2020-05-04T13:05:30+02:00";261950838.39999998
"Total Network Transmitted";"2020-05-04T13:05:35+02:00";258240462.39999998
"Total Network Transmitted";"2020-05-04T13:05:40+02:00";259984510.39999998
"Total Network Transmitted";"2020-05-04T13:05:45+02:00";256299415.99999997
"Total Network Transmitted";"2020-05-04T13:05:50+02:00";259904152
"Total Network Transmitted";"2020-05-04T13:05:55+02:00";256450078.40000004
"Total Network Transmitted";"2020-05-04T13:06:00+02:00";262370414.39999998
"Total Network Transmitted";"2020-05-04T13:06:05+02:00";261733124.8
"Total Network Transmitted";"2020-05-04T13:06:10+02:00";257586287.99999994
"Total Network Transmitted";"2020-05-04T13:06:15+02:00";261259187.20000002
"Total Network Transmitted";"2020-05-04T13:06:20+02:00";255444065.8562687
"Total Network Transmitted";"2020-05-04T13:06:25+02:00";258828140.6524505
"Total Network Transmitted";"2020-05-04T13:06:30+02:00";261077764.9058988
"Total Network Transmitted";"2020-05-04T13:06:35+02:00";266179217.44813776
"Total Network Transmitted";"2020-05-04T13:06:40+02:00";260631276.8
"Total Network Transmitted";"2020-05-04T13:06:45+02:00";260517171.60808164
"Total Network Transmitted";"2020-05-04T13:06:50+02:00";260465633.16840625
"Total Network Transmitted";"2020-05-04T13:06:55+02:00";253881470.489938
"Total Network Transmitted";"2020-05-04T13:07:00+02:00";259756756.43847227
"Total Network Transmitted";"2020-05-04T13:07:05+02:00";257021324.36919385
"Total Network Transmitted";"2020-05-04T13:07:10+02:00";259055372.8
"Total Network Transmitted";"2020-05-04T13:07:15+02:00";268168315.20000002
"Total Network Transmitted";"2020-05-04T13:07:20+02:00";267562004.24750504
"Total Network Transmitted";"2020-05-04T13:07:25+02:00";264114097.5230461
"Total Network Transmitted";"2020-05-04T13:07:30+02:00";268436756.79999995
"Total Network Transmitted";"2020-05-04T13:07:35+02:00";258385920
"Total Network Transmitted";"2020-05-04T13:07:40+02:00";258842310.39999998
"Total Network Transmitted";"2020-05-04T13:07:45+02:00";261763350.39999998
"Total Network Transmitted";"2020-05-04T13:07:50+02:00";268376408
"Total Network Transmitted";"2020-05-04T13:07:55+02:00";259919425.59999996
"Total Network Transmitted";"2020-05-04T13:08:00+02:00";266994267.20000005
"Total Network Transmitted";"2020-05-04T13:08:05+02:00";266855000.00000003
