"Series";"Time";"Value"
"Total Network Received";"2020-05-04T16:24:05+02:00";847645106.1048467
"Total Network Received";"2020-05-04T16:24:10+02:00";845047589.5060508
"Total Network Received";"2020-05-04T16:24:15+02:00";854379982.6359774
"Total Network Received";"2020-05-04T16:24:20+02:00";863736380.9522498
"Total Network Received";"2020-05-04T16:24:25+02:00";872646448.0248135
"Total Network Received";"2020-05-04T16:24:30+02:00";851033387.4585782
"Total Network Received";"2020-05-04T16:24:35+02:00";860026273.1116462
"Total Network Received";"2020-05-04T16:24:40+02:00";844187534.6385894
"Total Network Received";"2020-05-04T16:24:45+02:00";844216919.5863134
"Total Network Received";"2020-05-04T16:24:50+02:00";857821769.2551675
"Total Network Received";"2020-05-04T16:24:55+02:00";847273641.3647932
"Total Network Received";"2020-05-04T16:25:00+02:00";847562059.9630572
"Total Network Received";"2020-05-04T16:25:05+02:00";856665215.8713344
"Total Network Received";"2020-05-04T16:25:10+02:00";842543424.9269893
"Total Network Received";"2020-05-04T16:25:15+02:00";845283857.8131069
"Total Network Received";"2020-05-04T16:25:20+02:00";844750189.0582916
"Total Network Received";"2020-05-04T16:25:25+02:00";834334605.1248603
"Total Network Received";"2020-05-04T16:25:30+02:00";853378022.3769413
"Total Network Received";"2020-05-04T16:25:35+02:00";851387549.1248494
"Total Network Received";"2020-05-04T16:25:40+02:00";855721257.586407
"Total Network Received";"2020-05-04T16:25:45+02:00";866488122.2830168
"Total Network Received";"2020-05-04T16:25:50+02:00";862407966.9671961
"Total Network Received";"2020-05-04T16:25:55+02:00";859404986.4425783
"Total Network Received";"2020-05-04T16:26:00+02:00";853865601.0452526
"Total Network Received";"2020-05-04T16:26:05+02:00";846787792.3482548
"Total Network Received";"2020-05-04T16:26:10+02:00";864361600.1171436
"Total Network Received";"2020-05-04T16:26:15+02:00";842783324.9594368
"Total Network Received";"2020-05-04T16:26:20+02:00";853927483.7972205
"Total Network Received";"2020-05-04T16:26:25+02:00";859510497.9490664
"Total Network Received";"2020-05-04T16:26:30+02:00";869502701.3241044
"Total Network Received";"2020-05-04T16:26:35+02:00";868737962.2679006
