"Series";"Time";"Value"
"Total apps memory used";"2020-05-04T16:24:05+02:00";9852088320
"Total apps memory used";"2020-05-04T16:24:10+02:00";9860517888
"Total apps memory used";"2020-05-04T16:24:15+02:00";9847951360
"Total apps memory used";"2020-05-04T16:24:20+02:00";9865191424
"Total apps memory used";"2020-05-04T16:24:25+02:00";9877647360
"Total apps memory used";"2020-05-04T16:24:30+02:00";9878867968
"Total apps memory used";"2020-05-04T16:24:35+02:00";9865142272
"Total apps memory used";"2020-05-04T16:24:40+02:00";9861623808
"Total apps memory used";"2020-05-04T16:24:45+02:00";9878585344
"Total apps memory used";"2020-05-04T16:24:50+02:00";9879302144
"Total apps memory used";"2020-05-04T16:24:55+02:00";9852895232
"Total apps memory used";"2020-05-04T16:25:00+02:00";9884069888
"Total apps memory used";"2020-05-04T16:25:05+02:00";9874685952
"Total apps memory used";"2020-05-04T16:25:10+02:00";9879539712
"Total apps memory used";"2020-05-04T16:25:15+02:00";9876238336
"Total apps memory used";"2020-05-04T16:25:20+02:00";9889705984
"Total apps memory used";"2020-05-04T16:25:25+02:00";9898561536
"Total apps memory used";"2020-05-04T16:25:30+02:00";9877958656
"Total apps memory used";"2020-05-04T16:25:35+02:00";9867902976
"Total apps memory used";"2020-05-04T16:25:40+02:00";9869197312
"Total apps memory used";"2020-05-04T16:25:45+02:00";9896468480
"Total apps memory used";"2020-05-04T16:25:50+02:00";9884135424
"Total apps memory used";"2020-05-04T16:25:55+02:00";9892503552
"Total apps memory used";"2020-05-04T16:26:00+02:00";9898090496
"Total apps memory used";"2020-05-04T16:26:05+02:00";9886093312
"Total apps memory used";"2020-05-04T16:26:10+02:00";9892880384
"Total apps memory used";"2020-05-04T16:26:15+02:00";9907425280
"Total apps memory used";"2020-05-04T16:26:20+02:00";9882869760
"Total apps memory used";"2020-05-04T16:26:25+02:00";9885036544
"Total apps memory used";"2020-05-04T16:26:30+02:00";9897791488
"Total apps memory used";"2020-05-04T16:26:35+02:00";9885179904
"Total apps memory used";"2020-05-04T16:26:40+02:00";9901740032
"Total apps memory used";"2020-05-04T16:26:45+02:00";9890439168
"Total apps memory used";"2020-05-04T16:26:50+02:00";9912680448
"Total apps memory used";"2020-05-04T16:26:55+02:00";9891393536
"Total apps memory used";"2020-05-04T16:27:00+02:00";9886482432
"Total apps memory used";"2020-05-04T16:27:05+02:00";9884364800
"Total apps memory used";"2020-05-04T16:27:10+02:00";9897721856
"Total apps memory used";"2020-05-04T16:27:15+02:00";9915928576
"Total apps memory used";"2020-05-04T16:27:20+02:00";9897549824
"Total apps memory used";"2020-05-04T16:27:25+02:00";9906966528
"Total apps memory used";"2020-05-04T16:27:30+02:00";9895084032
"Total apps memory used";"2020-05-04T16:27:35+02:00";9893675008
"Total apps memory used";"2020-05-04T16:27:40+02:00";9913769984
"Total apps memory used";"2020-05-04T16:27:45+02:00";9899798528
"Total apps memory used";"2020-05-04T16:27:50+02:00";9892761600
"Total apps memory used";"2020-05-04T16:27:55+02:00";9893203968
"Total apps memory used";"2020-05-04T16:28:00+02:00";9921339392
"Total apps memory used";"2020-05-04T16:28:05+02:00";9908224000
"Total apps memory used";"2020-05-04T16:28:10+02:00";9915027456
"Total apps memory used";"2020-05-04T16:28:15+02:00";9889603584
"Total apps memory used";"2020-05-04T16:28:20+02:00";9897668608
"Total apps memory used";"2020-05-04T16:28:25+02:00";9892065280
"Total apps memory used";"2020-05-04T16:28:30+02:00";9892995072
"Total apps memory used";"2020-05-04T16:28:35+02:00";9899245568
"Total apps memory used";"2020-05-04T16:28:40+02:00";9918660608
"Total apps memory used";"2020-05-04T16:28:45+02:00";9901301760
"Total apps memory used";"2020-05-04T16:28:50+02:00";9910939648
"Total apps memory used";"2020-05-04T16:28:55+02:00";9907253248
"Total apps memory used";"2020-05-04T16:29:00+02:00";9902174208
"Total apps memory used";"2020-05-04T16:29:05+02:00";9918410752
"Total apps memory used";"2020-05-04T16:29:10+02:00";9906544640
"Total apps memory used";"2020-05-04T16:29:15+02:00";9906880512
"Total apps memory used";"2020-05-04T16:29:20+02:00";9906806784
"Total apps memory used";"2020-05-04T16:29:25+02:00";9913942016
"Total apps memory used";"2020-05-04T16:29:30+02:00";9905020928
"Total apps memory used";"2020-05-04T16:29:35+02:00";9905020928
"Total apps memory used";"2020-05-04T16:29:40+02:00";9917767680
"Total apps memory used";"2020-05-04T16:29:45+02:00";9907027968
"Total apps memory used";"2020-05-04T16:29:50+02:00";9903497216
"Total apps memory used";"2020-05-04T16:29:55+02:00";9897299968
"Total apps memory used";"2020-05-04T16:30:00+02:00";9902067712
"Total apps memory used";"2020-05-04T16:30:05+02:00";9930326016
"Total apps memory used";"2020-05-04T16:30:10+02:00";9921933312
"Total apps memory used";"2020-05-04T16:30:15+02:00";9900015616
"Total apps memory used";"2020-05-04T16:30:20+02:00";9911468032
"Total apps memory used";"2020-05-04T16:30:25+02:00";9911013376
"Total apps memory used";"2020-05-04T16:30:30+02:00";9924370432
"Total apps memory used";"2020-05-04T16:30:35+02:00";9920012288
"Total apps memory used";"2020-05-04T16:30:40+02:00";9911279616
"Total apps memory used";"2020-05-04T16:30:45+02:00";9907617792
"Total apps memory used";"2020-05-04T16:30:50+02:00";9910841344
"Total apps memory used";"2020-05-04T16:30:55+02:00";9906216960
"Total apps memory used";"2020-05-04T16:31:00+02:00";9924407296
"Total apps memory used";"2020-05-04T16:31:05+02:00";9905319936
"Total apps memory used";"2020-05-04T16:31:10+02:00";9916616704
"Total apps memory used";"2020-05-04T16:31:15+02:00";9915281408
"Total apps memory used";"2020-05-04T16:31:20+02:00";9912451072
"Total apps memory used";"2020-05-04T16:31:25+02:00";9913577472
"Total apps memory used";"2020-05-04T16:31:30+02:00";9906360320
"Total apps memory used";"2020-05-04T16:31:35+02:00";9908375552
"Total apps memory used";"2020-05-04T16:31:40+02:00";9919582208
"Total apps memory used";"2020-05-04T16:31:45+02:00";9904488448
"Total apps memory used";"2020-05-04T16:31:50+02:00";9921302528
"Total apps memory used";"2020-05-04T16:31:55+02:00";9916502016
"Total apps memory used";"2020-05-04T16:32:00+02:00";9911177216
"Total apps memory used";"2020-05-04T16:32:05+02:00";9909809152
"Total apps memory used";"2020-05-04T16:32:10+02:00";9903280128
"Total apps memory used";"2020-05-04T16:32:15+02:00";9906208768
"Total apps memory used";"2020-05-04T16:32:20+02:00";9930326016
"Total apps memory used";"2020-05-04T16:32:25+02:00";9921703936
"Total apps memory used";"2020-05-04T16:32:30+02:00";9939365888
"Total apps memory used";"2020-05-04T16:32:35+02:00";9916624896
"Total apps memory used";"2020-05-04T16:32:40+02:00";9924538368
"Total apps memory used";"2020-05-04T16:32:45+02:00";9927344128
"Total apps memory used";"2020-05-04T16:32:50+02:00";9923309568
