"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T14:28:25+02:00";348045584.00000006
"Total Network Transmitted";"2020-05-04T14:28:30+02:00";347585844.79999995
"Total Network Transmitted";"2020-05-04T14:28:35+02:00";346987299.20000005
"Total Network Transmitted";"2020-05-04T14:28:40+02:00";345404860.79999995
"Total Network Transmitted";"2020-05-04T14:28:45+02:00";343139482.16233516
"Total Network Transmitted";"2020-05-04T14:28:50+02:00";346553587.8761104
"Total Network Transmitted";"2020-05-04T14:28:55+02:00";350484932.79999995
"Total Network Transmitted";"2020-05-04T14:29:00+02:00";353693286.3999999
"Total Network Transmitted";"2020-05-04T14:29:05+02:00";352963605.17744905
"Total Network Transmitted";"2020-05-04T14:29:10+02:00";355704435.2
"Total Network Transmitted";"2020-05-04T14:29:15+02:00";346137626.6398887
"Total Network Transmitted";"2020-05-04T14:29:20+02:00";348424501.6507098
"Total Network Transmitted";"2020-05-04T14:29:25+02:00";354268756.8000001
"Total Network Transmitted";"2020-05-04T14:29:30+02:00";350358407.02617043
"Total Network Transmitted";"2020-05-04T14:29:35+02:00";345098969.59999996
"Total Network Transmitted";"2020-05-04T14:29:40+02:00";356233267.2
"Total Network Transmitted";"2020-05-04T14:29:45+02:00";343594677.1260147
"Total Network Transmitted";"2020-05-04T14:29:50+02:00";347447609.6
"Total Network Transmitted";"2020-05-04T14:29:55+02:00";348404161.14454895
"Total Network Transmitted";"2020-05-04T14:30:00+02:00";349566033.5999999
"Total Network Transmitted";"2020-05-04T14:30:05+02:00";341164109.4203951
"Total Network Transmitted";"2020-05-04T14:30:10+02:00";344849079.9788335
"Total Network Transmitted";"2020-05-04T14:30:15+02:00";347771925.88884443
"Total Network Transmitted";"2020-05-04T14:30:20+02:00";345231243.0012403
"Total Network Transmitted";"2020-05-04T14:30:25+02:00";349193609.8710943
"Total Network Transmitted";"2020-05-04T14:30:30+02:00";345070243.2000001
"Total Network Transmitted";"2020-05-04T14:30:35+02:00";346209760.00000006
"Total Network Transmitted";"2020-05-04T14:30:40+02:00";348596408
"Total Network Transmitted";"2020-05-04T14:30:45+02:00";351880664.6267547
"Total Network Transmitted";"2020-05-04T14:30:50+02:00";342727249.76899385
"Total Network Transmitted";"2020-05-04T14:30:55+02:00";352265915.2
"Total Network Transmitted";"2020-05-04T14:31:00+02:00";352540916.91458195
"Total Network Transmitted";"2020-05-04T14:31:05+02:00";353405067.9327852
"Total Network Transmitted";"2020-05-04T14:31:10+02:00";345395359.99999994
"Total Network Transmitted";"2020-05-04T14:31:15+02:00";349454899.2
"Total Network Transmitted";"2020-05-04T14:31:20+02:00";347281103.9999999
"Total Network Transmitted";"2020-05-04T14:31:25+02:00";349909517.49106175
"Total Network Transmitted";"2020-05-04T14:31:30+02:00";345508096.2054811
"Total Network Transmitted";"2020-05-04T14:31:35+02:00";349979265.6
"Total Network Transmitted";"2020-05-04T14:31:40+02:00";341384045.30408776
"Total Network Transmitted";"2020-05-04T14:31:45+02:00";343243135.6597793
"Total Network Transmitted";"2020-05-04T14:31:50+02:00";348015291.2
"Total Network Transmitted";"2020-05-04T14:31:55+02:00";350305655.99999994
"Total Network Transmitted";"2020-05-04T14:32:00+02:00";347595260.8
"Total Network Transmitted";"2020-05-04T14:32:05+02:00";347803787.15170896
"Total Network Transmitted";"2020-05-04T14:32:10+02:00";343622732.5310386
"Total Network Transmitted";"2020-05-04T14:32:15+02:00";344281132.79999995
"Total Network Transmitted";"2020-05-04T14:32:20+02:00";347165804.8
"Total Network Transmitted";"2020-05-04T14:32:25+02:00";347949222.635153
"Total Network Transmitted";"2020-05-04T14:32:30+02:00";349574302.5071977
"Total Network Transmitted";"2020-05-04T14:32:35+02:00";343973045.0058215
"Total Network Transmitted";"2020-05-04T14:32:40+02:00";352296575.76155233
"Total Network Transmitted";"2020-05-04T14:32:45+02:00";351142129.59999996
"Total Network Transmitted";"2020-05-04T14:32:50+02:00";346597300.7999999
"Total Network Transmitted";"2020-05-04T14:32:55+02:00";340237881.59999996
"Total Network Transmitted";"2020-05-04T14:33:00+02:00";352283705.6
"Total Network Transmitted";"2020-05-04T14:33:05+02:00";344682161.6
"Total Network Transmitted";"2020-05-04T14:33:10+02:00";350666401.6000001
"Total Network Transmitted";"2020-05-04T14:33:15+02:00";351401726.39999986
"Total Network Transmitted";"2020-05-04T14:33:20+02:00";348534196.8518296
"Total Network Transmitted";"2020-05-04T14:33:25+02:00";343641236.66173244
"Total Network Transmitted";"2020-05-04T14:33:30+02:00";339451080
"Total Network Transmitted";"2020-05-04T14:33:35+02:00";350060152
