"Series";"Time";"Value"
"Total Network Received";"2020-05-04T16:36:10+02:00";1135496497.6935048
"Total Network Received";"2020-05-04T16:36:15+02:00";1118122811.4374573
"Total Network Received";"2020-05-04T16:36:20+02:00";1146528925.1365998
"Total Network Received";"2020-05-04T16:36:25+02:00";1132639828.8292856
"Total Network Received";"2020-05-04T16:36:30+02:00";1130649618.845016
"Total Network Received";"2020-05-04T16:36:35+02:00";1139854892.9378684
"Total Network Received";"2020-05-04T16:36:40+02:00";1116261360.802005
"Total Network Received";"2020-05-04T16:36:45+02:00";1124856951.4381118
"Total Network Received";"2020-05-04T16:36:50+02:00";1131646633.6393442
"Total Network Received";"2020-05-04T16:36:55+02:00";1115910223.2892935
"Total Network Received";"2020-05-04T16:37:00+02:00";1115781627.911782
"Total Network Received";"2020-05-04T16:37:05+02:00";1118462816.1473913
"Total Network Received";"2020-05-04T16:37:10+02:00";1134524208.3617182
"Total Network Received";"2020-05-04T16:37:15+02:00";1143752302.4878983
"Total Network Received";"2020-05-04T16:37:20+02:00";1120594181.8245263
"Total Network Received";"2020-05-04T16:37:25+02:00";1129395265.5824497
"Total Network Received";"2020-05-04T16:37:30+02:00";1125673900.3620558
"Total Network Received";"2020-05-04T16:37:35+02:00";1127152389.227799
"Total Network Received";"2020-05-04T16:37:40+02:00";1115436012.1443493
"Total Network Received";"2020-05-04T16:37:45+02:00";1149521087.555495
"Total Network Received";"2020-05-04T16:37:50+02:00";1142751703.112167
"Total Network Received";"2020-05-04T16:37:55+02:00";1127357263.3083856
"Total Network Received";"2020-05-04T16:38:00+02:00";1130565874.1509461
"Total Network Received";"2020-05-04T16:38:05+02:00";1108817680.3868387
"Total Network Received";"2020-05-04T16:38:10+02:00";1114008854.1458223
"Total Network Received";"2020-05-04T16:38:15+02:00";1122890246.8465314
"Total Network Received";"2020-05-04T16:38:20+02:00";1128904755.818737
"Total Network Received";"2020-05-04T16:38:25+02:00";1125445246.0586576
"Total Network Received";"2020-05-04T16:38:30+02:00";1144210831.843259
"Total Network Received";"2020-05-04T16:38:35+02:00";1122458059.24142
"Total Network Received";"2020-05-04T16:38:40+02:00";1118625686.0804398
"Total Network Received";"2020-05-04T16:38:45+02:00";1150594242.954444
"Total Network Received";"2020-05-04T16:38:50+02:00";1130112209.819042
"Total Network Received";"2020-05-04T16:38:55+02:00";1133690248.2339516
"Total Network Received";"2020-05-04T16:39:00+02:00";1114017868.9555795
"Total Network Received";"2020-05-04T16:39:05+02:00";1135727695.3990552
"Total Network Received";"2020-05-04T16:39:10+02:00";1142444524.5436716
"Total Network Received";"2020-05-04T16:39:15+02:00";1135266114.5941453
"Total Network Received";"2020-05-04T16:39:20+02:00";1151202378.459832
"Total Network Received";"2020-05-04T16:39:25+02:00";1134637717.639939
"Total Network Received";"2020-05-04T16:39:30+02:00";1121327230.4646966
"Total Network Received";"2020-05-04T16:39:35+02:00";1123533198.533847
"Total Network Received";"2020-05-04T16:39:40+02:00";1129928256.6309085
"Total Network Received";"2020-05-04T16:39:45+02:00";1122666591.0012972
"Total Network Received";"2020-05-04T16:39:50+02:00";1113716338.869215
"Total Network Received";"2020-05-04T16:39:55+02:00";1135482558.4701922
"Total Network Received";"2020-05-04T16:40:00+02:00";1143208094.2976356
"Total Network Received";"2020-05-04T16:40:05+02:00";1129457076.0142214
"Total Network Received";"2020-05-04T16:40:10+02:00";1138481052.9555838
"Total Network Received";"2020-05-04T16:40:15+02:00";1135075529.6472852
"Total Network Received";"2020-05-04T16:40:20+02:00";1141765189.7852118
"Total Network Received";"2020-05-04T16:40:25+02:00";1135715243.6339958
