"Series";"Time";"Value"
"Total Network Received";"2020-05-04T14:52:30+02:00";899913650.383517
"Total Network Received";"2020-05-04T14:52:35+02:00";904730243.2560489
"Total Network Received";"2020-05-04T14:52:40+02:00";908560697.4166807
"Total Network Received";"2020-05-04T14:52:45+02:00";903857558.7906365
"Total Network Received";"2020-05-04T14:52:50+02:00";897459160.1097822
"Total Network Received";"2020-05-04T14:52:55+02:00";907076399.5268731
"Total Network Received";"2020-05-04T14:53:00+02:00";887821143.8734735
"Total Network Received";"2020-05-04T14:53:05+02:00";905220935.9999999
"Total Network Received";"2020-05-04T14:53:10+02:00";900481342.5782042
"Total Network Received";"2020-05-04T14:53:15+02:00";879806111.1405962
"Total Network Received";"2020-05-04T14:53:20+02:00";877831616.6606394
"Total Network Received";"2020-05-04T14:53:25+02:00";886413155.2000002
"Total Network Received";"2020-05-04T14:53:30+02:00";893205979.0570296
"Total Network Received";"2020-05-04T14:53:35+02:00";899080829.6725825
"Total Network Received";"2020-05-04T14:53:40+02:00";910447168.7020664
"Total Network Received";"2020-05-04T14:53:45+02:00";899013123.9710464
"Total Network Received";"2020-05-04T14:53:50+02:00";916716209.6454582
"Total Network Received";"2020-05-04T14:53:55+02:00";903279964.8000003
"Total Network Received";"2020-05-04T14:54:00+02:00";900289057.6
"Total Network Received";"2020-05-04T14:54:05+02:00";890378280.8039992
"Total Network Received";"2020-05-04T14:54:10+02:00";915124320.6340468
"Total Network Received";"2020-05-04T14:54:15+02:00";891758563.2532737
"Total Network Received";"2020-05-04T14:54:20+02:00";904304321.5683138
"Total Network Received";"2020-05-04T14:54:25+02:00";894757719.7406964
"Total Network Received";"2020-05-04T14:54:30+02:00";898501906.7546492
"Total Network Received";"2020-05-04T14:54:35+02:00";900261285.5652732
"Total Network Received";"2020-05-04T14:54:40+02:00";880634206.4
"Total Network Received";"2020-05-04T14:54:45+02:00";875439161.5999999
"Total Network Received";"2020-05-04T14:54:50+02:00";887402688.7553688
"Total Network Received";"2020-05-04T14:54:55+02:00";871877417.8875728
"Total Network Received";"2020-05-04T14:55:00+02:00";885648429.4072385
"Total Network Received";"2020-05-04T14:55:05+02:00";918456393.2823236
"Total Network Received";"2020-05-04T14:55:10+02:00";915369166.3045924
"Total Network Received";"2020-05-04T14:55:15+02:00";907972978.0174017
"Total Network Received";"2020-05-04T14:55:20+02:00";907600085.2823365
"Total Network Received";"2020-05-04T14:55:25+02:00";903993355.3647671
"Total Network Received";"2020-05-04T14:55:30+02:00";915798653.8329256
"Total Network Received";"2020-05-04T14:55:35+02:00";896890089.0020019
"Total Network Received";"2020-05-04T14:55:40+02:00";886632338.4399261
"Total Network Received";"2020-05-04T14:55:45+02:00";904521582.8088425
"Total Network Received";"2020-05-04T14:55:50+02:00";878787234.6171635
"Total Network Received";"2020-05-04T14:55:55+02:00";885756998.4
"Total Network Received";"2020-05-04T14:56:00+02:00";903508722.9899498
"Total Network Received";"2020-05-04T14:56:05+02:00";877446708.5335168
"Total Network Received";"2020-05-04T14:56:10+02:00";888679607.3274947
"Total Network Received";"2020-05-04T14:56:15+02:00";881323680.8237054
"Total Network Received";"2020-05-04T14:56:20+02:00";884905975.944883
"Total Network Received";"2020-05-04T14:56:25+02:00";908557539.2000002
"Total Network Received";"2020-05-04T14:56:30+02:00";902419897.6
"Total Network Received";"2020-05-04T14:56:35+02:00";887575472.5109379
"Total Network Received";"2020-05-04T14:56:40+02:00";895387553.2863375
"Total Network Received";"2020-05-04T14:56:45+02:00";897018383.9999998
"Total Network Received";"2020-05-04T14:56:50+02:00";900253890.1163768
"Total Network Received";"2020-05-04T14:56:55+02:00";880730190.9935901
"Total Network Received";"2020-05-04T14:57:00+02:00";867427422.6010402
"Total Network Received";"2020-05-04T14:57:05+02:00";893414459.1999999
"Total Network Received";"2020-05-04T14:57:10+02:00";894257240
"Total Network Received";"2020-05-04T14:57:15+02:00";918353741.3792661
"Total Network Received";"2020-05-04T14:57:20+02:00";898899270.9418942
"Total Network Received";"2020-05-04T14:57:25+02:00";894736273.6000003
"Total Network Received";"2020-05-04T14:57:30+02:00";892681296.2165964
"Total Network Received";"2020-05-04T14:57:35+02:00";870916434.0193117
"Total Network Received";"2020-05-04T14:57:40+02:00";894142855.3099942
"Total Network Received";"2020-05-04T14:57:45+02:00";913810899.3675189
"Total Network Received";"2020-05-04T14:57:50+02:00";903461631.8161749
"Total Network Received";"2020-05-04T14:57:55+02:00";910963339.1999999
"Total Network Received";"2020-05-04T14:58:00+02:00";915182123.5953618
"Total Network Received";"2020-05-04T14:58:05+02:00";908653064.3322929
"Total Network Received";"2020-05-04T14:58:10+02:00";906510888.7284942
"Total Network Received";"2020-05-04T14:58:15+02:00";914060486.3999999
"Total Network Received";"2020-05-04T14:58:20+02:00";904056332.7999998
"Total Network Received";"2020-05-04T14:58:25+02:00";913401949.8697124
"Total Network Received";"2020-05-04T14:58:30+02:00";896510880.7556282
"Total Network Received";"2020-05-04T14:58:35+02:00";933628203.2934588
"Total Network Received";"2020-05-04T14:58:40+02:00";919929213.6263841
"Total Network Received";"2020-05-04T14:58:45+02:00";899444661.4941761
"Total Network Received";"2020-05-04T14:58:50+02:00";898870949.7159766
"Total Network Received";"2020-05-04T14:58:55+02:00";872143687.7566235
"Total Network Received";"2020-05-04T14:59:00+02:00";894943961.9632728
"Total Network Received";"2020-05-04T14:59:05+02:00";903847448.5424054
"Total Network Received";"2020-05-04T14:59:10+02:00";890604852.7999998
"Total Network Received";"2020-05-04T14:59:15+02:00";920482877.5988804
"Total Network Received";"2020-05-04T14:59:20+02:00";905687252.5769572
"Total Network Received";"2020-05-04T14:59:25+02:00";916963657.0322063
"Total Network Received";"2020-05-04T14:59:30+02:00";908443121.0858839
"Total Network Received";"2020-05-04T14:59:35+02:00";893232479.2368803
"Total Network Received";"2020-05-04T14:59:40+02:00";889050414.1013802
"Total Network Received";"2020-05-04T14:59:45+02:00";908393310.4000001
"Total Network Received";"2020-05-04T14:59:50+02:00";886355240.3481036
"Total Network Received";"2020-05-04T14:59:55+02:00";904016160.6797596
"Total Network Received";"2020-05-04T15:00:00+02:00";902934729.4340197
"Total Network Received";"2020-05-04T15:00:05+02:00";863665782.8586892
"Total Network Received";"2020-05-04T15:00:10+02:00";892093133.9625894
"Total Network Received";"2020-05-04T15:00:15+02:00";865926470.329906
"Total Network Received";"2020-05-04T15:00:20+02:00";898025767.8194839
"Total Network Received";"2020-05-04T15:00:25+02:00";887018561.884423
"Total Network Received";"2020-05-04T15:00:30+02:00";880254498.030166
"Total Network Received";"2020-05-04T15:00:35+02:00";888701707.7700341
"Total Network Received";"2020-05-04T15:00:40+02:00";887664491.215037
"Total Network Received";"2020-05-04T15:00:45+02:00";893208240.8560971
"Total Network Received";"2020-05-04T15:00:50+02:00";899875161.5847734
"Total Network Received";"2020-05-04T15:00:55+02:00";895548835.7297652
"Total Network Received";"2020-05-04T15:01:00+02:00";891275123.7699581
"Total Network Received";"2020-05-04T15:01:05+02:00";876999648.8073885
"Total Network Received";"2020-05-04T15:01:10+02:00";885696312.0434046
"Total Network Received";"2020-05-04T15:01:15+02:00";891871690.6916133
"Total Network Received";"2020-05-04T15:01:20+02:00";863557235.1999998
"Total Network Received";"2020-05-04T15:01:25+02:00";902359228.449565
"Total Network Received";"2020-05-04T15:01:30+02:00";882298118.7526567
"Total Network Received";"2020-05-04T15:01:35+02:00";889252384.2262475
"Total Network Received";"2020-05-04T15:01:40+02:00";875135274.5502698
"Total Network Received";"2020-05-04T15:01:45+02:00";890604937.1917615
"Total Network Received";"2020-05-04T15:01:50+02:00";867184207.6613723
"Total Network Received";"2020-05-04T15:01:55+02:00";891063484.563887
"Total Network Received";"2020-05-04T15:02:00+02:00";901082010.895289
"Total Network Received";"2020-05-04T15:02:05+02:00";881070758.1136231
"Total Network Received";"2020-05-04T15:02:10+02:00";881664505.3524797
"Total Network Received";"2020-05-04T15:02:15+02:00";862919622.9981437
"Total Network Received";"2020-05-04T15:02:20+02:00";866556970.0774251
"Total Network Received";"2020-05-04T15:02:25+02:00";869212268.0419053
"Total Network Received";"2020-05-04T15:02:30+02:00";892905135.3416946
