"Series";"Time";"Value"
"Total apps memory used";"2020-05-04T13:12:05+02:00";7667101696
"Total apps memory used";"2020-05-04T13:12:10+02:00";7662379008
"Total apps memory used";"2020-05-04T13:12:15+02:00";7677194240
"Total apps memory used";"2020-05-04T13:12:20+02:00";7674257408
"Total apps memory used";"2020-05-04T13:12:25+02:00";7678316544
"Total apps memory used";"2020-05-04T13:12:30+02:00";7666286592
"Total apps memory used";"2020-05-04T13:12:35+02:00";7677730816
"Total apps memory used";"2020-05-04T13:12:40+02:00";7687270400
"Total apps memory used";"2020-05-04T13:12:45+02:00";7681564672
"Total apps memory used";"2020-05-04T13:12:50+02:00";7694680064
"Total apps memory used";"2020-05-04T13:12:55+02:00";7693520896
"Total apps memory used";"2020-05-04T13:13:00+02:00";7719751680
"Total apps memory used";"2020-05-04T13:13:05+02:00";7704322048
"Total apps memory used";"2020-05-04T13:13:10+02:00";7704416256
"Total apps memory used";"2020-05-04T13:13:15+02:00";7720419328
"Total apps memory used";"2020-05-04T13:13:20+02:00";7730151424
"Total apps memory used";"2020-05-04T13:13:25+02:00";7723479040
"Total apps memory used";"2020-05-04T13:13:30+02:00";7731494912
"Total apps memory used";"2020-05-04T13:13:35+02:00";7724068864
"Total apps memory used";"2020-05-04T13:13:40+02:00";7750217728
"Total apps memory used";"2020-05-04T13:13:45+02:00";7729623040
"Total apps memory used";"2020-05-04T13:13:50+02:00";7728877568
"Total apps memory used";"2020-05-04T13:13:55+02:00";7739154432
"Total apps memory used";"2020-05-04T13:14:00+02:00";7739211776
"Total apps memory used";"2020-05-04T13:14:05+02:00";7745671168
"Total apps memory used";"2020-05-04T13:14:10+02:00";7741321216
"Total apps memory used";"2020-05-04T13:14:15+02:00";7744995328
"Total apps memory used";"2020-05-04T13:14:20+02:00";7756648448
"Total apps memory used";"2020-05-04T13:14:25+02:00";7762059264
"Total apps memory used";"2020-05-04T13:14:30+02:00";7775297536
"Total apps memory used";"2020-05-04T13:14:35+02:00";7751659520
"Total apps memory used";"2020-05-04T13:14:40+02:00";7776391168
"Total apps memory used";"2020-05-04T13:14:45+02:00";7768375296
"Total apps memory used";"2020-05-04T13:14:50+02:00";7767166976
"Total apps memory used";"2020-05-04T13:14:55+02:00";7758073856
"Total apps memory used";"2020-05-04T13:15:00+02:00";7767568384
"Total apps memory used";"2020-05-04T13:15:05+02:00";7755399168
"Total apps memory used";"2020-05-04T13:15:10+02:00";7777116160
"Total apps memory used";"2020-05-04T13:15:15+02:00";7759687680
"Total apps memory used";"2020-05-04T13:15:20+02:00";7757594624
"Total apps memory used";"2020-05-04T13:15:25+02:00";7765086208
"Total apps memory used";"2020-05-04T13:15:30+02:00";7779987456
