"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T13:12:05+02:00";525610039.21237594
"Total Network Transmitted";"2020-05-04T13:12:10+02:00";521899498.86233246
"Total Network Transmitted";"2020-05-04T13:12:15+02:00";524749496.00000006
"Total Network Transmitted";"2020-05-04T13:12:20+02:00";516453192
"Total Network Transmitted";"2020-05-04T13:12:25+02:00";511943488.2089874
"Total Network Transmitted";"2020-05-04T13:12:30+02:00";516371659.997276
"Total Network Transmitted";"2020-05-04T13:12:35+02:00";520893011.20000005
"Total Network Transmitted";"2020-05-04T13:12:40+02:00";502159537.5999999
"Total Network Transmitted";"2020-05-04T13:12:45+02:00";512344060.8000001
"Total Network Transmitted";"2020-05-04T13:12:50+02:00";512268476.3725654
"Total Network Transmitted";"2020-05-04T13:12:55+02:00";516533652.44600904
"Total Network Transmitted";"2020-05-04T13:13:00+02:00";515778115.1999999
"Total Network Transmitted";"2020-05-04T13:13:05+02:00";514450392
"Total Network Transmitted";"2020-05-04T13:13:10+02:00";512627391.41483694
"Total Network Transmitted";"2020-05-04T13:13:15+02:00";515060066.86742485
"Total Network Transmitted";"2020-05-04T13:13:20+02:00";517138259.30937195
"Total Network Transmitted";"2020-05-04T13:13:25+02:00";530439386.5527694
"Total Network Transmitted";"2020-05-04T13:13:30+02:00";525445254.394879
"Total Network Transmitted";"2020-05-04T13:13:35+02:00";515118073.5999999
"Total Network Transmitted";"2020-05-04T13:13:40+02:00";513726868.8748651
"Total Network Transmitted";"2020-05-04T13:13:45+02:00";506938492.920024
"Total Network Transmitted";"2020-05-04T13:13:50+02:00";508859676.7999999
"Total Network Transmitted";"2020-05-04T13:13:55+02:00";516554848.1000002
"Total Network Transmitted";"2020-05-04T13:14:00+02:00";515599070.4
"Total Network Transmitted";"2020-05-04T13:14:05+02:00";518009415.9999999
"Total Network Transmitted";"2020-05-04T13:14:10+02:00";512482044.79999995
"Total Network Transmitted";"2020-05-04T13:14:15+02:00";517002207.99999994
"Total Network Transmitted";"2020-05-04T13:14:20+02:00";512990222.4
"Total Network Transmitted";"2020-05-04T13:14:25+02:00";528481385.6
"Total Network Transmitted";"2020-05-04T13:14:30+02:00";509641585.59999996
"Total Network Transmitted";"2020-05-04T13:14:35+02:00";516601452.8000001
"Total Network Transmitted";"2020-05-04T13:14:40+02:00";513893364.8
"Total Network Transmitted";"2020-05-04T13:14:45+02:00";516245805.54033196
"Total Network Transmitted";"2020-05-04T13:14:50+02:00";514667742.37375474
"Total Network Transmitted";"2020-05-04T13:14:55+02:00";514839474.99236155
"Total Network Transmitted";"2020-05-04T13:15:00+02:00";515652835.72679925
"Total Network Transmitted";"2020-05-04T13:15:05+02:00";512809311.5615298
"Total Network Transmitted";"2020-05-04T13:15:10+02:00";517316457.3176471
"Total Network Transmitted";"2020-05-04T13:15:15+02:00";508244840.0000001
"Total Network Transmitted";"2020-05-04T13:15:20+02:00";511253166.6157057
"Total Network Transmitted";"2020-05-04T13:15:25+02:00";519298097.04009235
"Total Network Transmitted";"2020-05-04T13:15:30+02:00";521353643.2
"Total Network Transmitted";"2020-05-04T13:15:35+02:00";518727076.8000001
"Total Network Transmitted";"2020-05-04T13:15:40+02:00";521243085.2331068
"Total Network Transmitted";"2020-05-04T13:15:45+02:00";514587168.7055624
"Total Network Transmitted";"2020-05-04T13:15:50+02:00";521759430.40000015
"Total Network Transmitted";"2020-05-04T13:15:55+02:00";498522911.9999999
"Total Network Transmitted";"2020-05-04T13:16:00+02:00";517457070.160688
"Total Network Transmitted";"2020-05-04T13:16:05+02:00";512313895.40252084
"Total Network Transmitted";"2020-05-04T13:16:10+02:00";506726772.1300241
"Total Network Transmitted";"2020-05-04T13:16:15+02:00";521419892.80000013
"Total Network Transmitted";"2020-05-04T13:16:20+02:00";521549791.4641148
"Total Network Transmitted";"2020-05-04T13:16:25+02:00";525366257.6770311
"Total Network Transmitted";"2020-05-04T13:16:30+02:00";508255185.70562106
"Total Network Transmitted";"2020-05-04T13:16:35+02:00";518305496.00000006
"Total Network Transmitted";"2020-05-04T13:16:40+02:00";510339094.4
"Total Network Transmitted";"2020-05-04T13:16:45+02:00";522640707.0115768
