timeStamp,elapsed,label,success,Latency
1588019475719,63,Home,true,63
1588019475632,148,Home,true,145
1588019475666,114,Home,true,111
1588019475632,148,Home,true,145
1588019475770,81,Home,true,81
1588019475817,105,Home,true,105
1588019475867,76,Home,true,76
1588019475920,80,Home,true,80
1588019475967,108,Home,true,107
1588019476017,109,Home,true,109
1588019476068,123,Home,true,123
1588019476167,290,Home,true,290
1588019476218,251,Home,true,247
1588019475787,701,Login,true,358
1588019475787,705,Login,true,382
1588019475787,707,Login,true,351
1588019475787,709,Login,true,402
1588019476118,385,Home,true,385
1588019476318,216,Home,true,216
1588019476267,280,Home,true,280
1588019476367,240,Home,true,240
1588019476467,229,Home,true,229
1588019476001,703,Login,true,365
1588019475923,788,Login,true,397
1588019476418,308,Home,true,308
1588019475945,789,Login,true,387
1588019475852,914,Login,true,357
1588019476517,250,Home,true,249
1588019476495,366,List Products,true,314
1588019476490,371,List Products,true,317
1588019476497,408,List Products,true,362
1588019476127,787,Login,true,629
1588019476705,213,List Products,true,145
1588019476076,982,Login,true,725
1588019476193,872,Login,true,562
1588019476493,602,List Products,true,552
1588019476735,371,List Products,true,305
1588019476712,425,List Products,true,353
1588019476767,400,List Products,true,330
1588019476470,785,Login,true,641
1588019476864,498,Look at Product,true,402
1588019476915,473,List Products,true,407
1588019476698,774,Login,true,660
1588019476535,944,Login,true,779
1588019476504,1005,Login,true,765
1588019476458,1060,Login,true,864
1588019476548,975,Login,true,766
1588019476608,928,Login,true,732
1588019477059,480,List Products,true,427
1588019477065,480,List Products,true,412
1588019476768,818,Login,true,604
1588019476727,867,Login,true,647
1588019477256,693,List Products,true,626
1588019477480,523,List Products,true,457
1588019477473,537,List Products,true,491
1588019476864,1350,Look at Product,true,1325
1588019477511,722,List Products,true,678
1588019477524,786,List Products,true,716
1588019477139,1217,Look at Product,true,1193
1588019477109,1275,Look at Product,true,1249
1588019477595,808,List Products,true,755
1588019477520,907,List Products,true,822
1588019477098,1333,Look at Product,true,1294
1588019477537,894,List Products,true,815
1588019477587,875,List Products,true,830
1588019477169,1322,Look at Product,true,1299
1588019476907,1591,Look at Product,true,1569
1588019476921,1669,Look at Product,true,1645
1588019477363,1850,Add Product to Cart,true,194
1588019478385,1159,Add Product to Cart,true,100
1588019477547,2064,Look at Product,true,2035
1588019477542,2103,Look at Product,true,2076
1588019478011,1655,Look at Product,true,1616
1588019477390,2291,Look at Product,true,2262
1588019477951,1786,Look at Product,true,1753
1588019478004,1749,Look at Product,true,1712
1588019478432,1353,Add Product to Cart,true,174
1588019478492,1293,Add Product to Cart,true,182
1588019478312,1477,Look at Product,true,1373
1588019478234,1560,Look at Product,true,1479
1588019478404,1411,Look at Product,true,1385
1588019479215,634,List Products with different page,true,563
1588019478215,1669,Add Product to Cart,true,212
1588019478432,1526,Look at Product,true,1464
1588019479546,500,List Products with different page,true,455
1588019478428,1664,Look at Product,true,1591
1588019478357,1821,Add Product to Cart,true,249
1588019478499,1763,Add Product to Cart,true,271
1588019478591,1674,Add Product to Cart,true,296
1588019478463,1870,Look at Product,true,1809
1588019479786,579,List Products with different page,true,533
1588019479885,493,List Products with different page,true,445
1588019479786,723,List Products with different page,true,696
1588019479646,932,Add Product to Cart,true,180
1588019479666,1127,Add Product to Cart,true,156
1588019480265,642,List Products with different page,true,595
1588019480263,757,List Products with different page,true,729
1588019480178,849,List Products with different page,true,820
1588019479612,1532,Add Product to Cart,true,245
1588019479682,1503,Add Product to Cart,true,140
1588019479738,1453,Add Product to Cart,true,142
1588019480578,748,List Products with different page,true,721
1588019480793,635,List Products with different page,true,598
1588019479816,1648,Add Product to Cart,true,236
1588019479850,1641,Add Product 2 to Cart,true,355
1588019479794,1757,Add Product to Cart,true,127
1588019480048,1529,Add Product 2 to Cart,true,150
1588019480092,1522,Add Product to Cart,true,183
1588019479959,1667,Add Product to Cart,true,222
1588019479789,1937,Add Product to Cart,true,217
1588019479754,1987,Add Product to Cart,true,252
1588019480334,1532,Add Product to Cart,true,207
1588019480366,1580,Add Product 2 to Cart,true,143
1588019481492,455,Logout,true,55
1588019480510,1464,Add Product 2 to Cart,true,140
1588019481186,794,List Products with different page,true,749
1588019481192,798,List Products with different page,true,748
1588019481145,846,List Products with different page,true,813
1588019481947,62,Home,true,62
1588019481551,557,List Products with different page,true,493
1588019481975,149,Logout,true,41
1588019481615,523,List Products with different page,true,452
1588019481627,635,List Products with different page,true,566
1588019481577,736,Logout,true,346
1588019482124,193,Home,true,193
1588019480379,1941,Add Product 2 to Cart,true,246
1588019481947,378,Logout,true,67
1588019480908,1423,Add Product 2 to Cart,true,213
1588019481465,905,List Products with different page,true,841
1588019481027,1370,Add Product 2 to Cart,true,228
1588019482314,132,Home,true,132
1588019481742,734,List Products with different page,true,693
1588019482326,240,Home,true,240
1588019481028,1620,Add Product 2 to Cart,true,225
1588019481867,786,List Products with different page,true,742
1588019481727,963,List Products with different page,true,883
1588019482398,368,Logout,true,82
1588019482321,457,Logout,true,121
1588019481430,1372,Add Product 2 to Cart,true,463
1588019482010,794,Login,true,617
1588019481327,1485,Add Product 2 to Cart,true,246
1588019482766,95,Home,true,95
1588019482648,288,Logout,true,105
1588019482778,165,Home,true,165
1588019482332,628,Logout,true,96
1588019482802,250,Logout,true,40
1588019482813,245,Logout,true,56
1588019482937,133,Home,true,133
1588019482961,166,Home,true,166
1588019483059,132,Home,true,130
1588019483053,139,Home,true,136
1588019482318,879,Login,true,645
1588019482447,801,Login,true,555
1588019482567,717,Login,true,526
1588019481981,1353,Add Product 2 to Cart,true,288
1588019481992,1394,Add Product 2 to Cart,true,258
1588019482805,626,List Products,true,578
1588019482109,1391,Add Product 2 to Cart,true,195
1588019483387,208,Logout,true,51
1588019483335,262,Logout,true,54
1588019482943,654,Login,true,549
1588019482861,738,Login,true,587
1588019481991,1630,Add Product 2 to Cart,true,233
1588019483198,429,List Products,true,383
1588019482139,1489,Add Product 2 to Cart,true,185
1588019483501,178,Logout,true,78
1588019483128,566,Login,true,389
1588019483193,539,Login,true,411
1588019483071,665,Login,true,443
1588019482372,1371,Add Product 2 to Cart,true,223
1588019483597,192,Home,true,192
1588019483595,240,Home,true,238
1588019483249,601,List Products,true,533
1588019483679,233,Home,true,233
1588019483285,669,List Products,true,621
1588019483191,772,Login,true,448
1588019482263,1709,Add Product 2 to Cart,true,88
1588019483621,427,Logout,true,56
1588019483743,313,Logout,true,41
1588019483629,431,Logout,true,61
1588019484061,59,Home,true,59
